Questions,Answers,Patterns,Tags,Source
What are the ASBrS selection criteria for treatment of breast cancer with accelerated partial breast irradiation (PBI)?,"The American Society of Breast Surgeons (ASBrS) recommends the following selection criteria when patients are being considered for treatment with accelerated PBI :

1) Age ≥45 years for all tumor types
2) All invasive subtypes or DCIS
3) Total tumor size (invasive and DCIS) ≤ 3 cm
4) T stage Tis, T1, T2 (≤ 3 cm) 
5) Margins; No tumor on ink for invasive tumors or tumors involved with DCIS;  ≥2 mm for DCIS 
6) Node negative 
7) Multifocal acceptable if total span of tumors is ≤3 cm
8) Estrogen receptor positive or negative
9) Focal lymphovascular invasion
10) No genetic mutations",ASBrS selection criteria for treatment of breast cancer with accelerated partial breast irradiation (PBI).  selection criteria for treatment of breast cancer with accelerated partial breast irradiation (PBI) by ASBrS.,ASBrS selection criteria,https://www.medscape.com/answers/1947145-155348/what-are-the-asbrs-selection-criteria-for-treatment-of-breast-cancer-with-accelerated-partial-breast-irradiation-pbi
What are the potential complications of partial breast irradiation (PBI) in the treatment of breast cancer?,"Potential complications of PBI are catheter placement followed by removal secondary to any of the following:

1) Inadequate skin spacing
2) Infection
3) Seroma
4) Fibrosis
5) Chronic pain
6) Disease recurrence",potential complications of partial breast irradiation (PBI) in the treatment of breast cancer.  potential complications of partial breast irradiation in the treatment of breast cancer. potential complications of PBI in the treatment of breast cancer,partial breast irradiation,https://www.medscape.com/answers/1947145-155349/what-are-the-potential-complications-of-partial-breast-irradiation-pbi-in-the-treatment-of-breast-cancer
What is the efficacy of external-beam radiotherapy (EBRT) in the treatment of breast cancer?,"The most common type of radiation therapy for breast cancer, EBRT is generally given after other treatments are complete.

In EBRT, a beam of radiation, a high-energy X-ray, is focused on the spot where the cancer was removed. If a lumpectomy was performed, a patient may receive EBRT to the entire breast, a technique called whole-breast radiation. EBRT may also be delivered to nearby lymph nodes. Some advantages of EBRT for breast cancer patients may include:

1) It is fast, painless and performed as an outpatient procedure.
2) Unlike chemotherapy, which circulates throughout the body, EBRT is targeted to the treatment area.
3) At no point during radiation therapy is a patient radioactive, and there’s no risk of radioactivity to your friends and family.",efficacy of external-beam radiotherapy (EBRT) in the treatment of breast cancer. efficacy of EBRT in the treatment of breast cancer.  efficacy of external-beam radiotherapy in the treatment of breast cancer. ,external-beam radiotherapy efficacy (EBRT),https://www.cancercenter.com/cancer-types/breast-cancer/treatments/radiation-therapy
What is the role of single-dose radiotherapy in the treatment of breast cancer?,"According to 2 major studies, single-dose radiotherapy delivered during or soon after surgery for breast cancer is a viable alternative to conventional EBRT in selected patients who are at low risk for local recurrence.",role of single-dose radiotherapy in the treatment of breast cancer. ,single-dose radiotherapy role,https://www.medscape.com/answers/1947145-155351/what-is-the-role-of-single-dose-radiotherapy-in-the-treatment-of-breast-cancer
What are the ASCO criteria for postmastectomy radiation therapy in the treatment of breast cancer?,"Clinical practice guidelines developed by the American Society of Clinical Oncology (ASCO), along with several prospective, randomized clinical trials, recommend that postmastectomy radiation therapy be performed according to the following criteria :

1) Positive postmastectomy margins
2) Primary tumors >5 cm
3) Involvement of ≥4 lymph nodes", ASCO criteria for postmastectomy radiation therapy in the treatment of breast cancer.  postmastectomy radiation therapy criteria in the treatment of breast cancer by ASCO.,postmastectomy radiation therapy ASCO criteria,https://www.medscape.com/answers/1947145-155352/what-are-the-asco-criteria-for-postmastectomy-radiation-therapy-in-the-treatment-of-breast-cancer
What is the efficacy of radiation therapy for the treatment of invasive breast cancer?,"If early-stage breast cancer hasn’t spread, radiation therapy after a lumpectomy significantly reduces the risk of cancer coming back by approximately 50%. Studies show that a lumpectomy followed by radiation therapy is as effective as a mastectomy without radiation therapy.",efficacy of radiation therapy for the treatment of invasive breast cancer.,radiation therapy efficacy invasive,"https://my.clevelandclinic.org/health/treatments/9191-radiation-therapy-for-breast-cancer#:~:text=How%20effective%20is%20radiation%20therapy,a%20mastectomy%20without%20radiation%20therapy."
What is the role of systemic adjuvant therapy in the treatment of breast cancer?,"Adjuvant treatment of breast cancer is designed to treat micrometastatic disease (ie, breast cancer cells that have escaped the breast and regional lymph nodes but which have not yet had an established identifiable metastasis). Treatment is aimed at reducing the risk of future recurrence, thereby reducing breast cancer-related morbidity and mortality. Depending on the model of risk reduction, adjuvant therapy has been estimated to be responsible for 35-72% of the reduction in mortality.", role of systemic adjuvant therapy in the treatment of breast cancer,systemic adjuvant therapy role,https://www.medscape.com/answers/1947145-155354/what-is-the-role-of-systemic-adjuvant-therapy-in-the-treatment-of-breast-cancer
How is DCIS breast cancer treated?,"Currently, the standard treatment of DCIS is surgical resection with or without radiation. Adjuvant radiation and hormonal therapies are often reserved for younger women, patients undergoing lumpectomy, or those with the comedo subtype. Local treatment for DCIS usually involves breast-conserving therapy (BCT), which consists of lumpectomy (also called wide excision or partial mastectomy) followed in most cases by adjuvant radiation therapy (RT). Alternatively, mastectomy may be considered",How does DCIS breast cancer treatment go. Treatment for DCIS breast cancer,DCIS treatment,"
https://www.medscape.com/answers/1947145-155355/how-is-dcis-breast-cancer-treated

https://www.uptodate.com/contents/ductal-carcinoma-in-situ-treatment-and-prognosis#:~:text=Local%20treatment%20for%20DCIS%20usually,Alternatively%2C%20mastectomy%20may%20be%20considered.
"
What is the role of WBRT in the treatment of DCIS breast cancer?,"In DCIS, WBRT is delivered over 5-6 weeks after surgery, reducing the local recurrence rate by approximately 60%. Roughly 50% of local recurrences are invasive breast cancer. Meta-analyses of randomized controlled trials have demonstrated slightly higher rates of contralateral breast cancer with radiation therapy than with observation (3.85% vs 2.5%) after surgery for DCIS. Studies comparing accelerated PBI given over 5 days to standard WBRT are currently under way.",role of WBRT in the treatment of DCIS breast cancer.,WBRT DCIS treatment,https://www.medscape.com/answers/1947145-155356/what-is-the-role-of-wbrt-in-the-treatment-of-dcis-breast-cancer
What is the role of tamoxifen in the treatment of DCIS breast cancer?,Tamoxifen is the only hormonal therapy currently approved for adjuvant therapy in patients treated with breast-conserving surgery and radiation for DCIS. A retrospective study found that patients with ER-positive DCIS who were treated with tamoxifen showed significant decreases in subsequent breast cancer at 10 years. Adjuvant tamoxifen also reduces the risk of contralateral breast cancer.,role of tamoxifen in the treatment of DCIS breast cancer.,tamoxifen role DCIS treatment,https://www.medscape.com/answers/1947145-155357/what-is-the-role-of-tamoxifen-in-the-treatment-of-dcis-breast-cancer
How is LCIS breast cancer treated?,"Overall, treatment options for lobular carcinoma in situ (LCIS) include observation and close follow-up care with or without tamoxifen and bilateral mastectomy with or without reconstruction. There is no evidence of therapeutic benefit from local excision, axillary dissection, radiotherapy, or chemotherapy. LCIS in the breast of a woman with ductal or lobular cancer does not require further immediate surgery on the opposite breast. Mirror biopsy of the contralateral breast, once advocated for treatment of LCIS, is now mainly of historic interest.",How does LCIS breast cancer treatment go. Treatment for LCIS breast cancer,LCIS Treatment ,https://www.medscape.com/answers/1947145-155358/how-is-lcis-breast-cancer-treated
How is locally advanced breast cancer (LABC) and inflammatory breast cancer (IBC) treated?,"LABC is often treated with a combination of chemotherapy, surgery, and radiation therapy.

 NOTE: Chemotherapy is not given every day but instead is given in cycles. A cycle of chemotherapy refers to the time it takes to give the chemotherapy and then allow the body to recover. A cycle of chemotherapy typically ranges from two to four weeks.

The treatment of inflammatory breast cancer is similar to that of other types of locally advanced breast cancer (LABC). Treatment usually includes neoadjuvant chemotherapy, surgery, and radiation therapy. As with other forms of LABC, two types of chemotherapy agents (anthracyclines and a taxane) are usually used. Once the diagnosis of inflammatory breast cancer (IBC) is established, it is important to proceed rapidly to treatment, as this is considered a rapidly spreading cancer.

There are some important differences in the treatment of IBC compared with LABC. In IBC, a mastectomy is usually recommended, even if the cancer responded well to neoadjuvant chemotherapy. After mastectomy, radiation therapy to the chest wall and lymph nodes is strongly recommended. Immediate reconstruction is NOT recommended in IBC.
",How does locally advanced breast cancer and inflammatory breast cancer treatment go. Treatment for locally advanced breast cancer and inflammatory breast cancer ,inflammatory breast cancer,https://www.uptodate.com/contents/locally-advanced-and-inflammatory-breast-cancer-beyond-the-basics
What is the prognosis of locally advanced breast cancer (LABC) and inflammatory breast cancer (IBC) following treatment?,"Overall, the prognosis is better for women with T3N0 (stage IIB) and T3N1 (stage IIIA) breast cancer than it is for those with classically defined LABC (IIIB, IIIC) or IBC (IIIB, T4d). Disease-free survival (DFS) and overall survival are typically better for stage IIB and IIIA patients; however, the likelihood of achieving a pathologic complete response (pCR) from neoadjuvant treatment, a well-recognized surrogate for long-term outcome, is inversely related to tumor size. Thus, the relative proportions of patients in each category are important.", prognosis of LABC and IBC following treatment. prognosis of  locally advanced breast cancer and inflammatory breast cancer following treatment. ,LABC,https://www.medscape.com/answers/1947145-155360/what-is-the-prognosis-of-locally-advanced-breast-cancer-labc-and-inflammatory-breast-cancer-ibc-following-treatment
What is inflammatory breast cancer (IBC)?,"IBC is a clinical diagnosis that implies presentation with the cardinal signs of inflammation (calor [warmth], rubor [redness], tumor [mass]) involving the breast, although the warmth may be subtle and the mass may not be appreciated as something discrete. Indeed, even when a localized mass is apparent in IBC, the true extent of the disease (as shown by performing skin biopsies from the surrounding normal-appearing skin) is usually greater than is apparent on physical examination.",Explain IBC. Explain Inflammatory breast cancer. Define Inflammatory breast cancer. Inflammatory breast cancer.,IBC,https://www.medscape.com/answers/1947145-155361/what-is-inflammatory-breast-cancer-ibc
What is locally advanced breast cancer (LABC)?,"LABC is more common in the US than IBC is; by the definition used here, it may account for 10-15% of patients (this drops to about 5% if one uses the older, stricter definition that includes inoperability). Epidemiologically, LABC is associated with lower socioeconomic class and, probably for that reason, with black race in the United States.

LABC encompasses both relatively indolent neglected tumors and those that have grown rapidly as a result of their inherent biology. In most case series, LABC has a better long-term outcome than IBC does, even when only inoperable cases are considered.",Explain LABC. Explain locally advanced breast cancer. Define locally advanced breast cancer. locally advanced breast cancer.,locally advanced breast cancer,https://www.medscape.com/answers/1947145-155362/what-is-locally-advanced-breast-cancer-labc
How are lymph nodes evaluated in locally advanced breast cancer (LABC) and inflammatory breast cancer (IBC)?,"Patients with LABC or IBC with clinically positive nodes should undergo a core biopsy before initiating chemotherapy. Those with clinically negative nodes may undergo sentinel lymph node biopsy before they start treatment, or else sentinel node determination may be delayed until after treatment is completed. In general, the best single test for evaluating the status of measurable tumor is ultrasonography (preferably done by the same operator). The mass often appears larger on physical examination than on ultrasonography, which can more effectively discriminate hypoechoic masses from surrounding stroma or hematoma. In IBC, magnetic resonance imaging (MRI) may be an important adjunct to response assessment. The role of positron emission tomography (PET) in routine assessment of response must be determined on a case-by-case basis.",lymph nodes evaluation in locally advanced breast cancer and inflammatory breast cancer.  lymph nodes evaluation in LABC and IBC. evaluation of lymph nodes in LABC and IBC. ,locally advanced breast cancer and inflammatory breast cancer lymph nodes evaluation,https://www.medscape.com/answers/1947145-155363/how-are-lymph-nodes-evaluated-in-locally-advanced-breast-cancer-labc-and-inflammatory-breast-cancer-ibc
What are the systemic treatments for metastatic breast cancer?,"Although treatments for metastatic breast cancer continue to improve, there remains no cure once distant metastases develop.
Furthermore, although occasional patients with metastatic breast cancer benefit from surgical resection for an isolated recurrence and many require radiation therapy for palliation at a specific site (or definitive treatment of brain metastasis), in general, recurrent or metastatic breast cancer must be approached systemically so that the therapeutic effect reaches all sites of disease. There are two main interventions: hormone therapy and chemotherapy.",systemic treatments for metastatic breast cancer. what systemic treatments are available for metastatic breast cancer.,metastatic systemic,https://www.medscape.com/answers/1947145-155364/what-are-the-systemic-treatments-for-metastatic-breast-cancer
What is the role of hormone therapy in the treatment of metastatic breast cancer?,"Hormone therapy (also called hormonal therapy, hormone treatment, or endocrine therapy) slows or stops the growth of hormone-sensitive tumors by blocking the body’s ability to produce hormones or by interfering with effects of hormones on breast cancer cells. Tumors that are hormone insensitive do not have hormone receptors and do not respond to hormone therapy.",role of hormone therapy in the treatment of metastatic breast cancer. how can hormone therapy help in the treatment of metastatic breast cancer.,hormone therapy metastatic ,"https://www.cancer.gov/types/breast/breast-hormone-therapy-fact-sheet#:~:text=Hormone%20therapy%20(also%20called%20hormonal,hormones%20on%20breast%20cancer%20cells."
What is the role of chemotherapy in the treatment of metastatic breast cancer?,"Chemotherapy is used as a treatment for most people who have metastatic breast cancer. Whether it is used first-line or not depends on your receptor status, previous treatments, and other factors Chemotherapy can work very well for metastatic breast cancer, although tumors almost always become resistant to any given drug or combination of drugs over time. It is not uncommon for people to undergo at least three different chemotherapy regimens during treatment.. Chemotherapy for metastatic breast cancer is not expected to cure the disease, but instead to control the disease for as long as possible. Chemotherapy for metastatic breast cancer, however, is used with different goals.

These goals are:

To extend your life
To improve your quality of life
To ease your symptoms",role of chemotherapy in the treatment of metastatic breast cancer. how can chemotherapy help in the treatment of metastatic breast cancer.,chemotherapy metastatic,https://www.verywellhealth.com/is-chemotherapy-used-to-treat-metastatic-breast-cancer-4154715
Which chemotherapy agents are used in the treatment of metastatic breast cancer?,Check out the agents: https://www.medscape.com/answers/1947145-155366/what-is-the-role-of-chemotherapy-in-the-treatment-of-metastatic-breast-cancer,chemotherapy agents used in the treatment of metastatic breast cancer. what chemotherapy agents are used in the treatment of metastatic breast cancer. ,chemotherapy agents breast cancer treatment,https://www.medscape.com/answers/1947145-155367/which-chemotherapy-agents-are-used-in-the-treatment-of-metastatic-breast-cancer
What is the role of poly (ADP-ribose) polymerase (PARP) inhibitors in the treatment of metastatic breast cancer?,"PARP inhibitors are a type of targeted (biological) therapy.

PARP stands for poly-ADP ribose polymerase. It’s a protein that helps cells repair themselves if they become damaged. PARP inhibitors stop the PARP from repairing cancer cells.

Two inherited altered genes that increase the risk of breast cancer developing are called BRCA1 and BRCA2. Cancer cells with faulty BRCA genes are already less able to repair themselves if they become damaged. Adding PARP inhibitors blocks another way cancer cells can repair themselves and causes them to become too damaged to survive.",role of poly (ADP-ribose) polymerase (PARP) inhibitors in the treatment of metastatic breast cancer. role of PARP inhibitors in the treatment of metastatic breast cancer.,PARP inhibitors,"https://breastcancernow.org/information-support/facing-breast-cancer/going-through-breast-cancer-treatment/parp-inhibitors-in-breast-cancer-treatment#:~:text=PARP%20stands%20for%20poly%2DADP,are%20called%20BRCA1%20and%20BRCA2."
What is the efficacy of combination therapy in the treatment of triple-negative breast cancer?,"Unresectable metastatic triple-negative breast cancer (ie, estrogen receptor–negative, progesterone receptor–negative, and HER2 receptor–negative) is aggressive and carries a poor prognosis. However, combination therapy with the programmed cell death ligand–1 (PDL1) inhibitor atezolizumab plus nanoparticle albumin-bound (nab)–paclitaxel has been shown to prolong PFS in these patients.  In 2019, FDA approved atezolizumab in combination with nab-paclitaxel for triple-negative breast cancer. The combination therapy attacked the tumor on two fronts. On one side, the chemotherapy drug cyclophosphamide eliminated tumor cells, while on the other front, another drug inhibited tumor-associated cells called macrophages, which block the body’s immune response against the tumor. This two-front strategy effectively treated several highly aggressive TNBC primary tumors and metastasis",efficacy of combination therapy in the treatment of triple-negative breast cancer. how much effective is combination therapy in the treatment of triple-negative breast cancer.,triple-negative breast cancer treatment ,"https://www.medscape.com/answers/1947145-155369/what-is-the-efficacy-of-combination-therapy-in-the-treatment-of-triple-negative-breast-cancer

https://www.bcm.edu/news/a-promising-combination-therapy-for-triple-negative-breast-cancer"
What is the role of antiangiogenic therapy in the treatment of metastatic breast cancer?,,role of antiangiogenic therapy in the treatment of metastatic breast cancer. what role does antiangiogenic therapy play in the treatment of metastatic breast cancer.,antiangiogenic therap,https://www.medscape.com/answers/1947145-155370/what-is-the-role-of-antiangiogenic-therapy-in-the-treatment-of-metastatic-breast-cancer
What is the role of surgery for the treatment of metastatic breast cancer?,"There is increasing interest in the role of surgical intervention for the intact primary tumor of these metastatic breast cancer patients. Several single-institution cohort and retrospective studies have concluded that surgical resection of the intact primary tumor may provide a survival advantage.

It is still unknown whether a selection bias affects the findings of a survival advantage in favor of surgery. However, the dogmatic belief that one should never operate in the setting of metastatic disease has certainly been dispelled in favor of critical evaluation of whether surgically achieved local control can lead to improved survival as a part of multimodal treatment. An ongoing prospective randomized clinical trial, E2108, is addressing the role of surgery for the primary tumor in metastatic setting.",role of surgery in the treatment of metastatic breast cancer. what role does surgery play in the treatment of metastatic breast cancer.,surgery role,https://www.medscape.com/answers/1947145-155371/what-is-the-role-of-surgery-for-the-treatment-of-metastatic-breast-cancer
What is the role of tamoxifen and raloxifene for the reduction of breast cancer risk?,"
Two selective estrogen receptor modulators (SERMs), tamoxifen and raloxifene, are approved for reduction of breast cancer risk in high-risk women. Two NSABP trials (P1 and P2) showed that tamoxifen reduced the risk of DCIS and invasive breast cancer by 30-50%. In the NSABP P2 prevention trial, raloxifene was as effective as tamoxifen in reducing the risk of invasive breast cancer but was 30% less effective than tamoxifen in reducing the risk of DCIS. Tamoxifen and raloxifene are equally effective in reducing the risk of ER-positive breast cancer in postmenopausal women. Raloxifene is associated with lower rates of thromboembolic disease, benign uterine conditions, and cataracts than tamoxifen is. The evidence does not allow determination of whether either agent decreases mortality from breast cancer.",role of tamoxifen and raloxifene for the reduction of breast cancer risk. what role does tamoxifen and raloxifene play for the reduction of breast cancer risk. ,tamoxifen raloxifene,https://www.medscape.com/answers/1947145-155372/what-is-the-role-of-tamoxifen-and-raloxifene-for-the-reduction-of-breast-cancer-risk
What are the ASCO guidelines for the pharmacologic reduction of breast cancer risk?,"ASCO guidelines on endocrine therapy to reduce breast cancer risk recommend the following :

1) In premenopausal women who are at least 35 years old and have completed childbearing, tamoxifen (20 mg/day for 5 years) remains the standard of care for risk reduction. Low-dose tamoxifen (5 mg/day) may be an alternative in women with intraepithelial neoplasia.

2) Anastrozole, exemestane, or raloxifene should not be prescribed for breast cancer risk reduction in premenopausal women.

3) In postmenopausal women, the choice of endocrine therapy includes anastrozole (1 mg/day) in addition to exemestane (25 mg/day), raloxifene (60 mg/day), or tamoxifen (20 mg/day).

The ASCO guidelines delineate the risk thresholds for use of individual agents, along with the benefits and risks that clinician and patient should discuss when considering endocrine therapy for primary breast cancer prevention",ASCO guidelines for the pharmacologic reduction of breast cancer risk. pharmacologic reduction of breast cancer risk guidelines by ASCO.,pharmacologic ASCO,https://www.medscape.com/answers/1947145-155373/what-are-the-asco-guidelines-for-the-pharmacologic-reduction-of-breast-cancer-risk
What is the role of mastectomy in the prevention of breast cancer?,"In retrospective studies with median follow-up periods of 13-14 years, bilateral risk-reduction mastectomy decreased the risk of developing breast cancer by at least 90% in women at moderate to high risk and in those with known BRCA1/2 mutations. In women with deleterious mutations in other genes that are associated with a 2-fold or greater risk for breast cancer but without a compelling family history of breast cancer, the value of risk-reducing mastectomy is unknown.
NOTE: Woman who are considering prophylactic mastectomy should meet with a range of specialists to discuss the risks and benefits of surgery, including its potential psychosocial effects, as well as the nonsurgical options for reducing risk of breast cancer.These may include a breast health specialist, medical social worker, or cancer clinical psychologist or psychiatrist. ",role of mastecomy in the prevention of breast cancer. what role does mastecomy play in the prevention of breast cancer. ,mastecomy,https://www.medscape.com/answers/1947145-155374/what-is-the-role-of-mastectomy-in-the-prevention-of-breast-cancer
What are the ASBrS recommendations for contralateral prophylactic mastectomy (CPM) in the treatment of breast cancer?,"A consensus statement from the American Society of Breast Surgeons (ASBrS) recommends that women with unilateral breast cancer who are at average risk should be discouraged from undergoing a contralateral prophylactic mastectomy (CPM), because most of those women, with the possible exception of BRCA carriers, will not obtain a survival benefit, and CPM doubles the risk of surgical complications. However, the ASBrS advises that the final decision whether or not to proceed with contralateral prophylactic mastectomy  is a result of the balance between benefits and risks of CPM and patient preference.", ASBrS recommendations for contralateral prophylactic mastectomy in the treatment of breast cancer. CPM mastectomy in the treatment of breast cancer recommendations by ASBrS. contralateral prophylactic mastectomy in the treatment of breast cancer recommendations. ,contralateral prophylactic mastectomy ASBrS,https://www.medscape.com/answers/1947145-155375/what-are-the-asbrs-recommendations-for-contralateral-prophylactic-mastectomy-cpm-in-the-treatment-of-breast-cancer
What are the differences between the NCCN and ASCO guidelines for the long-term monitoring of breast cancer survivors?,Check out the table to know the difference between NCCN and ASCO guidelines : https://emedicine.medscape.com/article/1947145-treatment#d16,differences between NCCN and ASCO guidelines for the long-term monitoring of breast cancer survivors. how NCCN and ASCO differ from eachother in guidelines for the long-term monitoring of breast cancer survivors. ,NCCN ASCO,https://www.medscape.com/answers/1947145-155376/what-are-the-differences-between-the-nccn-and-asco-guidelines-for-the-long-term-monitoring-of-breast-cancer-survivors
What are ASCO guidelines for monitoring bone density following the treatment for breast cancer?,"Women aged ≥65 years
-----------------------------------------------------------------------
Woman aged 60-64 years with ≥1 of the following:

1. Family history of osteoporosis

2. Low body weight

3. Prior nontraumatic fracture

4. Other risk factors (eg, smoking, sedentary lifestyle)

-----------------------------------------------------------------------
Postmenopausal women on aromatase inhibitors

-----------------------------------------------------------------------
Premenopausal women who develop treatment related premature menopause

-----------------------------------------------------------------------",ASCO guidelines for monitoring bone density following the treatment for breast cancer. guidelines by ASCO for monitoring bone density following the treatment for breast cancer. ,monitoring bone density ASCO guidelines,https://www.medscape.com/answers/1947145-155377/what-are-asco-guidelines-for-monitoring-bone-density-following-the-treatment-for-breast-cancer
What is the role of postoperative imaging in the long-term monitoring of breast cancer?,"Women who have had surgery for breast cancer may still require breast cancer screening with mammography. If a woman had a total mastectomy, then the other breast requires yearly follow-up, because there is still a higher risk that cancer will develop in the remaining breast. If the woman had a subcutaneous mastectomy, partial mastectomy, or lumpectomy, then that breast itself requires follow-up mammography.

The first mammogram is best performed 6 months postoperatively to provide a baseline for the new postoperative and postirradiation changes. Thereafter, mammography may be performed every 6-12 months for screening and follow-up",role of postoperative imaging in the long-term monitoring of breast cancer. What role does postoperative imaging play in the long-term monitoring of breast cancer. ,long-term monitoring,https://www.medscape.com/answers/1947145-155378/what-is-the-role-of-postoperative-imaging-in-the-long-term-monitoring-of-breast-cancer
What is the role of postoperative imaging in the monitoring of metastatic breast cancer?,"Recommendations for monitoring disease response in the metastatic setting vary. In general, monthly evaluations consisting of a history and physical examination to evaluate progression of disease and toxicities are reasonable.

Measurement of tumor markers, such as CEA, CA15.3, and CA27.29, can be used in conjunction with diagnostic imaging, history, and physical examination for monitoring patients on active therapy. CA15.3 and CA27.29 levels correlate with the course of disease in 60-70% of patients, whereas CEA levels correlate in 40% of patients.

However, data are insufficient to recommend the use of CEA, CA15.3, or CA27.29 alone for monitoring response to treatment. Caution should be used in the interpretation of rising CEA, CA15.3, or CA27.29 levels during the first 4-6 weeks of a new therapy; spurious early rises may occur.",role of postoperative imaging in the monitoring of metastatic breast cancer. What role does postoperative imaging play in the monitoring of  metastatic breast cancer. ,postoperative imaging,https://www.medscape.com/answers/1947145-155379/what-is-the-role-of-postoperative-imaging-in-the-monitoring-of-metastatic-breast-cancer
How is radiation-induced heart disease monitored in patients with breast cancer?,"According to a consensus statement from the European Association of Cardiovascular Imaging and the American Society of Echocardiography, patients treated with radiotherapy to the chest for Hodgkin's disease, or breast, lung, or esophageal cancer, should have an echocardiogram every 5 to 10 years to detect radiation-induced heart disease (RIHD). The relative risk of RIHD is 2- to 5.9 times higher in patients treated with radiation for breast cancer.",How is radiation-induced heart disease in breast cancer patients monitored. Monitoring of radiation-induced heart disease in breast cancer patients. ,heart disease,https://www.medscape.com/answers/1947145-155380/how-is-radiation-induced-heart-disease-monitored-in-patients-with-breast-cancer
What are Society for Integrative Oncology guidelines for use of integrative therapy in breast cancer?,"The Society for Integrative Oncology has released clinical practice guidelines on the use of integrative therapies as supportive care in patients treated for breast cancer. Recommendations include the following  :

1) Meditation, yoga, and relaxation with imagery may be useful for alleviating anxiety and mood disorders (grade A evidence)

2) Stress management, yoga, massage, music therapy, energy conservation, and meditation may reduce stress, improve mood, decrease fatigue, and improve quality of life (grade B evidence)

3) Acetyl-L-carnitine for the prevention of taxane-induced neuropathy may increase neuropathy and should not be used (grade H [likely harmful])

4) Evidence of benefit is weak or lacking for many interventions"," Society for Integrative Oncology guidelines for use of integrative therapy in breast cancer, guidelines for use of integrative therapy in breast cancer by Society of integrative Oncology.",Integrative Oncology,https://www.medscape.com/answers/1947145-155381/what-are-society-for-integrative-oncology-guidelines-for-use-of-integrative-therapy-in-breast-cancer
Which organizations have issued guidelines on breast cancer screening?,"Guidelines on breast cancer screening have been issued by the following organizations:

1) American Cancer Society (ACS)
2) U.S. Preventive Services Task Force (USPSTF)
3) American College of Obstetricians and Gynecologists (ACOG)
4) European Commission Initiative on Breast Cancer (ECIBC)",Which organizations have released recommendations for breast cancer screening. Organizations that have issued guidelines on breast cancer screening. ,cancer screening,https://www.medscape.com/answers/1947145-155382/which-organizations-have-issued-guidelines-on-breast-cancer-screening
What are the ACS guidelines for breast self-exam (BSE)?,"ACS recommendations for BSE are as follows :

1) Women should begin regular screening mammography at age 45 years (strong recommendation)
2) Women aged 45-54 years should be screened annually (qualified recommendation)
3) Women 55 years and older should transition to biennial screening or have the opportunity to continue screening annually (qualified recommendation)
4) Women should have the opportunity to begin annual screening at 40-44 years  of age (qualified recommendation)
5) Women should continue screening mammography as long as their overall health is good and they have a life expectancy of 10 years or longer (qualified recommendation)",ACS guidelines for breast self-exam. ACS guidelines for BSE. BSE guidelines by ASC. ,breast ACS,https://www.medscape.com/answers/1947145-155383/what-are-the-acs-guidelines-for-breast-self-exam-bse
What are ACS guidelines for the use of MRI in breast cancer screening?,"The ACS considers a woman to be at average risk for breast cancer in the absence of all of the following:

A personal history of breast cancer
A strong family history of breast cancer
A genetic mutation known to increase risk of breast cancer (eg, in BRCA)
A history of chest radiation therapy before the age of 30
For average-risk women, the ACS screening recommendations are as follows:

Age 40-44 - Starting screening with annual mammography is an option.
Age 45-54 - Annual mammography is recommended.
Age 55 and older - Transition to biennial screening or have the opportunity to continue screening annually. Continue screening as long as the woman is in good health and has a life expectancy of at least 10 years.
Clinical breast exams are not recommended for breast cancer screening in average-risk women at any age.",Can we use MRI for breast cancer screening. Use of MRI in breast cancer screening. ,MRI screening,https://www.medscape.com/answers/1947145-155385/what-are-acs-guidelines-for-the-use-of-mri-in-breast-cancer-screening
What are the USPSTF guidelines for breast self-exam (BSE)?,"In 2016, the USPSTF released updated recommendations on breast cancer screening, but did not update its 2009 recommendations for breast examination. In its 2016 statement, the USPSTF encouraged patients to be aware of changes in their bodies and discussing these changes with clinicians.

The 2009 breast examination recommendations are as follows  :

No requirement for clinicians to teach women how to perform BSE (Grade D recommendation)

Insufficient current evidence to assess the additional benefits and harms of clinical breast examination (CBE) beyond screening mammography in women 40 years or older",What are the guidelines for breast self-exam. Breast self-exam guidelines,breast self-exam,https://www.medscape.com/answers/1947145-155386/what-are-the-uspstf-guidelines-for-breast-self-exam-bse
What are the USPSTF guidelines for breast cancer screening?,"Since 2009 the USPSTF has recommended biennial screening mammography for women aged 50-74 years (grade B recommendation). The USPSTF recommends against routine screening mammography in women aged 40-49 years because of high rates of false-negative findings, perceived harm of unnecessary biopsy, and concern for the harm associated with overdiagnosis and overtreatment (grade C recommendation). [97]

Instead of routine screening for women 40-49 years old, the USPSTF recommends that clinicians provide screening to selected patients in this age range, depending on individual circumstances and patient preferences. The USPSTF further concluded that for most individuals without signs or symptoms, there is likely to be only a small benefit from screening.

Finally, the USPSTF recommends against teaching breast self-examination and concludes that the current evidence is insufficient to assess the benefits and harms of clinical breast examination in women aged 40 years or older or the benefits and harms of screening mammography in women aged 75 years or older.",What are the guidelines for breast cancer screening. Breast cancer screening guidelines,breast cancer screening guidelines,https://www.medscape.com/answers/1947145-155387/what-are-the-uspstf-guidelines-for-breast-cancer-screening
